DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,Depth,Temperature,Source
209943,209943,0.500000,UT,07:00:00 01-Sep-2021,,,,0.0,23.6,Status
209943,209943,0.500000,UT,20:00:00 09-Sep-2021,,,,0.0,22.2,Status
209943,209943,0.500000,UT,20:00:00 13-Sep-2021,,,,0.0,23.0,Status
209943,209943,0.500000,UT,21:00:00 13-Sep-2021,,,,0.0,23.1,Status
209943,209943,0.500000,UT,22:00:00 15-Sep-2021,,,,0.0,23.0,Status
209943,209943,0.500000,UT,19:00:00 27-Sep-2021,,,,0.0,22.5,Status
209943,209943,0.500000,UT,20:00:00 29-Sep-2021,,,,0.0,23.1,Status
209943,209943,0.500000,UT,20:00:00 13-Oct-2021,,,,0.0,23.0,Status
209943,209943,0.500000,UT,07:00:00 26-Oct-2021,,,,0.0,24.5,Status
209943,209943,0.500000,UT,08:00:00 31-Oct-2021,,,,0.0,25.4,Status
209943,209943,0.500000,UT,00:00:00 14-Nov-2021,,,,0.0,25.0,Status
209943,209943,0.500000,UT,19:00:00 15-Nov-2021,,,,0.0,24.7,Status
209943,209943,0.500000,UT,00:00:00 05-Dec-2021,,,,0.0,26.8,Status
209943,209943,0.500000,UT,12:00:00 11-Dec-2021,,,,0.0,27.5,Status
209943,209943,0.500000,UT,20:00:00 12-Jan-2022,,,,0.0,26.5,Status
209943,209943,0.500000,UT,20:00:00 14-Feb-2022,,,,0.0,26.9,Status
209943,209943,0.500000,UT,20:00:00 21-Feb-2022,,,,0.0,26.9,Status
209943,209943,0.500000,UT,08:00:00 24-Feb-2022,,,,0.0,27.4,Status
209943,209943,0.500000,UT,00:00:00 06-Mar-2022,,,,0.0,27.5,Status
