DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,MinDepth,MinAccuracy,MinSource,MaxDepth,MaxAccuracy,MaxSource
209943,209943,0.500000,UT,00:00:00 01-Sep-2021,,,,0.000000,0.000000,Status,,,
209943,209943,0.500000,UT,00:00:00 09-Sep-2021,,,,0.000000,0.000000,Status,,,
209943,209943,0.500000,UT,00:00:00 13-Sep-2021,,,,0.000000,0.000000,Status,,,
209943,209943,0.500000,UT,00:00:00 15-Sep-2021,,,,0.000000,0.000000,Status,,,
209943,209943,0.500000,UT,00:00:00 27-Sep-2021,,,,0.000000,0.000000,Status,,,
209943,209943,0.500000,UT,00:00:00 29-Sep-2021,,,,0.000000,0.000000,Status,,,
209943,209943,0.500000,UT,00:00:00 13-Oct-2021,,,,0.000000,0.000000,Status,,,
209943,209943,0.500000,UT,00:00:00 26-Oct-2021,,,,0.000000,0.000000,Status,,,
209943,209943,0.500000,UT,00:00:00 31-Oct-2021,,,,0.000000,0.000000,Status,,,
209943,209943,0.500000,UT,00:00:00 14-Nov-2021,,,,0.000000,0.000000,Status,,,
209943,209943,0.500000,UT,00:00:00 15-Nov-2021,,,,0.000000,0.000000,Status,,,
209943,209943,0.500000,UT,00:00:00 04-Dec-2021,,,,0.000000,0.000000,Status,,,
209943,209943,0.500000,UT,00:00:00 11-Dec-2021,,,,0.000000,0.000000,Status,,,
209943,209943,0.500000,UT,00:00:00 12-Jan-2022,,,,0.000000,0.000000,Status,,,
209943,209943,0.500000,UT,00:00:00 14-Feb-2022,,,,0.000000,0.000000,Status,,,
209943,209943,0.500000,UT,00:00:00 21-Feb-2022,,,,0.000000,0.000000,Status,,,
209943,209943,0.500000,UT,00:00:00 24-Feb-2022,,,,0.000000,0.000000,Status,,,
209943,209943,0.500000,UT,00:00:00 05-Mar-2022,,,,0.000000,0.000000,Status,,,
