DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
209945,209945,UT,12:07:31 07-May-2021,Argos,0,-20.1582,148.7791,14029,26437,7444,74,,,,,,
209945,209945,UT,12:09:57 07-May-2021,Argos,2,-20.2936,148.8279,254,446,145,88,,,,,,
209945,209945,UT,19:31:22 24-Sep-2021,Argos,1,-20.1684,148.9133,1270,8134,198,76,,,,,,
209945,209945,UT,19:32:09 24-Sep-2021,Argos,3,-20.1883,148.8435,217,359,130,78,,,,,,
209945,209945,UT,19:54:16 24-Sep-2021,Argos,1,-20.1997,148.8891,1230,2873,526,66,,,,,,
209945,209945,UT,20:03:40 24-Sep-2021,Argos,1,-20.1891,148.9041,1180,3762,369,70,,,,,,
209945,209945,UT,21:04:32 24-Sep-2021,Argos,B,-20.0855,148.9436,2541,10671,605,104,,,,,,
209945,209945,UT,21:07:32 24-Sep-2021,Argos,2,-20.0917,148.9697,305,712,131,107,,,,,,
209945,209945,UT,21:11:14 24-Sep-2021,Argos,1,-20.0698,148.9758,899,1467,550,103,,,,,,
209945,209945,UT,21:33:34 24-Sep-2021,Argos,2,-20.0742,148.9660,286,1031,79,103,,,,,,
209945,209945,UT,21:36:07 24-Sep-2021,Argos,3,-20.0745,148.9621,226,280,181,118,,,,,,
209945,209945,UT,21:47:22 24-Sep-2021,Argos,2,-20.0680,148.9635,351,655,187,36,,,,,,
209945,209945,UT,22:16:39 24-Sep-2021,Argos,B,-20.0864,148.9440,1315,2582,669,109,,,,,,
209945,209945,UT,22:28:44 24-Sep-2021,Argos,B,-20.1192,148.9680,1943,7515,502,100,,,,,,
209945,209945,UT,22:53:18 24-Sep-2021,Argos,2,-20.1689,149.0390,399,792,200,60,,,,,,
209945,209945,UT,23:22:02 24-Sep-2021,Argos,0,-20.1734,149.0785,2084,33044,131,101,,,,,,
209945,209945,UT,23:56:06 24-Sep-2021,Argos,2,-20.2409,149.0462,491,1262,191,109,,,,,,
209945,209945,UT,00:10:51 25-Sep-2021,Argos,A,-20.2396,149.0082,1061,2887,389,174,,,,,,
209945,209945,UT,01:02:45 25-Sep-2021,Argos,B,-20.2666,148.9850,2908,3243,2606,118,,,,,,
209945,209945,UT,07:45:07 29-Sep-2021,Argos,B,-19.9017,149.3121,11767,,,,,,,,,
209945,209945,UT,08:15:53 29-Sep-2021,Argos,B,-19.9078,149.2928,18282,129774,2575,102,,,,,,
209945,209945,UT,19:55:27 29-Sep-2021,Argos,B,-20.0560,148.8416,24826,39837,15471,99,,,,,,
209945,209945,UT,20:08:39 29-Sep-2021,Argos,B,-20.0063,148.7878,24462,44179,13544,91,,,,,,
209945,209945,UT,20:35:42 29-Sep-2021,Argos,1,-19.7904,148.8779,545,2203,135,93,,,,,,
209945,209945,UT,21:01:51 29-Sep-2021,Argos,2,-19.7931,148.8859,319,963,105,125,,,,,,
209945,209945,UT,21:07:20 29-Sep-2021,Argos,B,-19.7929,148.8670,3967,7740,2032,75,,,,,,
209945,209945,UT,20:51:35 30-Sep-2021,Argos,1,-19.5119,148.9420,881,1771,438,24,,,,,,
209945,209945,UT,20:11:28 01-Oct-2021,Argos,2,-19.1771,149.0968,256,356,183,93,,,,,,
209945,209945,UT,20:14:32 01-Oct-2021,Argos,3,-19.1793,149.1021,179,259,122,163,,,,,,
209945,209945,UT,20:28:00 01-Oct-2021,Argos,1,-19.1777,149.1178,728,884,598,6,,,,,,
209945,209945,UT,20:43:29 01-Oct-2021,Argos,2,-19.1749,149.1156,353,750,165,129,,,,,,
209945,209945,UT,20:54:33 01-Oct-2021,Argos,2,-19.1797,149.1259,325,591,178,138,,,,,,
209945,209945,UT,22:38:18 01-Oct-2021,Argos,B,-19.1638,149.1291,3160,4190,2382,102,,,,,,
209945,209945,UT,22:38:18 01-Oct-2021,Argos,B,-19.1629,149.1288,2792,3767,2068,100,,,,,,
209945,209945,UT,07:20:55 02-Oct-2021,Argos,A,-19.1215,149.1387,1932,29845,125,69,,,,,,
209945,209945,UT,10:36:10 02-Oct-2021,Argos,B,-19.1063,149.1407,2641,4721,1477,73,,,,,,
209945,209945,UT,10:36:10 02-Oct-2021,Argos,B,-19.1108,149.1562,2485,4557,1355,60,,,,,,
209945,209945,UT,20:06:54 02-Oct-2021,Argos,3,-19.2211,149.2749,161,187,138,142,,,,,,
209945,209945,UT,20:08:46 02-Oct-2021,Argos,2,-19.2216,149.2761,267,379,187,16,,,,,,
209945,209945,UT,20:14:54 02-Oct-2021,Argos,2,-19.2284,149.2823,296,2577,33,70,,,,,,
209945,209945,UT,20:37:48 02-Oct-2021,Argos,1,-19.2364,149.2933,698,3344,145,58,,,,,,
209945,209945,UT,21:22:33 02-Oct-2021,Argos,B,-19.2367,149.2964,1250,1559,1001,64,,,,,,
209945,209945,UT,07:10:46 03-Oct-2021,Argos,A,-19.2022,149.2477,1032,12581,84,90,,,,,,
209945,209945,UT,07:28:00 03-Oct-2021,Argos,B,-19.2021,149.2486,1161,3230,417,90,,,,,,
209945,209945,UT,08:15:43 03-Oct-2021,Argos,2,-19.2300,149.2388,364,801,164,14,,,,,,
209945,209945,UT,09:53:52 03-Oct-2021,Argos,B,-19.2033,149.2590,1957,2686,1425,84,,,,,,
209945,209945,UT,10:15:44 03-Oct-2021,Argos,B,-19.2042,149.2574,2068,2802,1525,84,,,,,,
209945,209945,UT,10:17:01 03-Oct-2021,Argos,B,-19.2592,149.2440,1577,23279,106,93,,,,,,
209945,209945,UT,19:25:48 03-Oct-2021,Argos,B,-19.2365,149.2735,3317,5254,2093,95,,,,,,
209945,209945,UT,19:42:25 03-Oct-2021,Argos,2,-19.1678,149.1322,403,658,246,14,,,,,,
209945,209945,UT,19:55:29 03-Oct-2021,Argos,2,-19.1708,149.1283,312,1096,88,87,,,,,,
209945,209945,UT,20:28:42 03-Oct-2021,Argos,B,-19.1691,149.1273,1257,1409,1120,97,,,,,,
209945,209945,UT,20:58:38 03-Oct-2021,Argos,3,-19.1676,149.1131,159,572,44,104,,,,,,
209945,209945,UT,21:25:53 03-Oct-2021,Argos,3,-19.1682,149.1107,162,581,44,107,,,,,,
209945,209945,UT,21:26:23 03-Oct-2021,Argos,2,-19.1689,149.1096,320,541,189,153,,,,,,
209945,209945,UT,21:29:02 03-Oct-2021,Argos,1,-19.1697,149.1091,783,2534,242,114,,,,,,
209945,209945,UT,06:53:41 04-Oct-2021,Argos,3,-19.1123,149.0462,240,570,101,61,,,,,,
209945,209945,UT,06:53:41 04-Oct-2021,Argos,3,-19.1125,149.0541,148,303,71,140,,,,,,
209945,209945,UT,08:30:56 04-Oct-2021,Argos,B,-19.1176,149.0438,4149,5395,3190,101,,,,,,
209945,209945,UT,09:55:47 04-Oct-2021,Argos,B,-19.1458,149.0374,4354,7255,2612,100,,,,,,
209945,209945,UT,10:23:04 04-Oct-2021,Argos,1,-19.1733,149.0191,1375,7760,243,41,,,,,,
209945,209945,UT,10:44:24 04-Oct-2021,Argos,B,-19.1742,149.0192,1137,2062,626,47,,,,,,
209945,209945,UT,12:12:24 04-Oct-2021,Argos,B,-19.1807,149.0110,2606,2967,2288,51,,,,,,
209945,209945,UT,12:33:31 04-Oct-2021,Argos,B,-19.1780,149.0135,2401,2893,1991,49,,,,,,
209945,209945,UT,19:43:49 04-Oct-2021,Argos,3,-19.1975,148.9960,156,249,97,11,,,,,,
209945,209945,UT,20:09:45 04-Oct-2021,Argos,3,-19.2009,149.0031,167,371,74,96,,,,,,
209945,209945,UT,20:34:06 04-Oct-2021,Argos,1,-19.2064,149.0029,576,1142,290,73,,,,,,
209945,209945,UT,21:17:23 04-Oct-2021,Argos,3,-19.1899,149.0148,140,336,58,96,,,,,,
209945,209945,UT,21:38:24 04-Oct-2021,Argos,1,-19.1953,149.0227,1148,1605,821,44,,,,,,
