DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon
41820,41820,0.500000,UT,,12:15:55 08-Jun-2019,12:17:05 08-Jun-2019,70,2,-20.2678,148.7037,CRC,,,,320,3.250,,,23.30,,,,,,,,,,,,,,255,255,,,,,,,,,0,,,
41820,41820,0.500000,UT,,,12:17:47 08-Jun-2019,,2,-20.2678,148.7037,,,,,,3.250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41820,41820,0.500000,UT,1.00a,,12:22:47 08-Jun-2019,,2,-20.2678,148.7037,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41820,41820,0.500000,UT,,,12:23:29 08-Jun-2019,,2,-20.2678,148.7037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41820,41820,0.500000,UT,,12:40:51 08-Jun-2019,12:42:00 08-Jun-2019,69,A,-20.2641,148.7088,CRC,,,,355,3.400,,,21.30,,,,,,,,,,,,,,255,255,,,,,,,,,0,,,
41820,41820,0.500000,UT,,,12:44:09 08-Jun-2019,,A,-20.2641,148.7088,,,,,,3.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41820,41820,0.500000,UT,1.00a,,12:44:51 08-Jun-2019,,A,-20.2641,148.7088,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41820,41820,0.500000,UT,,,20:59:58 10-Jun-2019,,A,-20.0244,148.8303,,,,,,3.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41820,41820,0.500000,UT,1.00a,,21:02:38 10-Jun-2019,,A,-20.0244,148.8303,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41820,41820,0.500000,UT,,,21:03:21 10-Jun-2019,,A,-20.0244,148.8303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41820,41820,0.500000,UT,1.00a,,07:51:27 11-Jun-2019,,B,-19.9633,148.8119,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41820,41820,0.500000,UT,,,09:46:23 11-Jun-2019,,B,-19.9397,148.8218,,,,,,3.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41820,41820,0.500000,UT,,,10:24:24 12-Jun-2019,,,,,,,,,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41820,41820,0.500000,UT,,,20:13:20 12-Jun-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41820,41820,0.500000,UT,,20:18:30 12-Jun-2019,20:19:41 12-Jun-2019,71,,,,CRC,,,,445,3.475,,,23.65,,,,,,,,,,,,,,227,31,255,,,,,,,,0,,,
41820,41820,0.500000,UT,1.00a,,07:38:27 13-Jun-2019,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41820,41820,0.500000,UT,,,18:21:12 14-Jun-2019,,,,,,,,,,,,,23.65,,,,,,,,,,,,,,,,,,,,,,,,,,,
41820,41820,0.500000,UT,,23:04:27 15-Jun-2019,23:05:38 15-Jun-2019,71,,,,CRC,,,,570,3.400,,,23.75,,,,,,,,,,,,,,145,29,255,,,,,,,,0,,,
41820,41820,0.500000,UT,,,18:54:21 19-Jun-2019,,,,,,,,,,,,,22.60,,,,,,,,,,,,,,,,,,,,,,,,,,,
41820,41820,0.500000,UT,,11:21:32 20-Jun-2019,11:22:45 20-Jun-2019,73,,,,CRC,,,,610,3.400,,,22.75,,,,,,,,,,,,,,131,29,255,,,,,,,,0,,,
41820,41820,0.500000,UT,1.00a,,17:58:00 24-Jun-2019,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41820,41820,0.500000,UT,,,21:24:30 25-Jun-2019,,B,-20.1098,148.9572,,,,,,,,,22.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
41820,41820,0.500000,UT,,21:38:37 25-Jun-2019,21:39:52 25-Jun-2019,75,A,-20.1115,148.9325,CRC,,,,670,3.450,,,21.90,,,,,,,,,,,,,,99,30,255,,,,,,,,0,,,
41820,41820,0.500000,UT,,,21:41:10 25-Jun-2019,,A,-20.1115,148.9325,,,,,671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
