,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
146708,02-Mar-2015,04:18:08,2,-189.000000,,,0,8,-17.8024,147.2271,04:14:58.84 02-Mar-2015,FastGPS,-17.8024,147.2271,,,26.4,-0.2,,,,15,13,24898,,,,5,622,,,,12,8724,,,,18,32101,,,,24,26516,,,,25,16150,,,,29,26602,,,,2,31036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,03-Mar-2015,05:24:16,1,-193.000000,,,0,6,-17.7298,147.0175,05:21:02.4 03-Mar-2015,FastGPS,-17.7298,147.0175,,,30.4,-0.6,,,,15,29,22260,,,43,5,10220,,,,18,23730,,,,22,7117,,,,15,760,,,,13,15328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,04-Mar-2015,06:41:20,1,-197.000000,,,0,6,-17.6954,146.7773,06:38:01.48 04-Mar-2015,FastGPS,-17.6954,146.7773,,,16.5,-1.5,,,,15,16,24078,,,38,29,23455,,,,18,6208,,,,21,7697,,,,22,22276,,,,25,18542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,05-Mar-2015,10:29:03,2,-201.000000,,,0,6,-17.4030,146.7676,10:25:40.6 05-Mar-2015,FastGPS,-17.4030,146.7676,,1,8.1,-1.4,,,,15,19,28010,,,40,8,25927,,,,32,3070,,,,4,6503,,,,27,24314,,,,31,6996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,07-Mar-2015,17:09:33,1,-209.000000,,,0,8,-17.0491,146.5602,17:06:02.88 07-Mar-2015,FastGPS,-17.0491,146.5602,,,13.1,-1.1,,,,15,20,30498,,,,10,18396,,,,3,28983,,,,7,9574,,,,9,26846,,,,30,14676,,,,19,27578,,,,23,30050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,08-Mar-2015,10:21:57,1,-212.000000,,,0,6,-17.0418,146.8150,10:18:25 08-Mar-2015,FastGPS,-17.0418,146.8150,,1,6.1,-0.0,,,,15,27,29668,,,42,8,1436,,,,19,10960,,,,31,6781,,,,21,14804,,,,32,23548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,12-Mar-2015,06:57:15,1,-226.000000,,,0,5,-16.7751,146.3888,06:53:29.03 12-Mar-2015,FastGPS,-16.7751,146.3888,,,12.7,0.0,,,,15,14,8532,,,40,16,18885,,,,21,9930,,,,18,23012,,,,25,22872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,14-Mar-2015,04:05:04,1,-233.000000,,,0,4,-16.4180,146.1364,19:07:40 14-Mar-2015,NN,-16.4055,146.1871,,,66.4,-3.1,,,,15,18,3836,,,,31,16170,,,,5,9244,,,,13,25264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,15-Mar-2015,06:45:57,1,-237.000000,,,0,5,-16.2523,146.1528,06:42:00.47 15-Mar-2015,FastGPS,-16.2523,146.1528,,,13.9,0.5,,,,15,22,28883,,,45,16,18457,,,,18,19006,,,,14,18652,,,,27,29386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,21-Mar-2015,12:21:23,2,-260.000000,,,0,7,-16.6934,146.4344,12:17:03.52 21-Mar-2015,FastGPS,-16.6934,146.4344,,,10.1,0.5,,,,15,16,13620,,,42,4,23314,,,,1,1380,,,,11,24900,,,,22,25178,,,,23,2344,,,,19,13434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
