,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
146708,14-Mar-2015,04:05:04,1,-233.000000,,,0,4,,,,,,,,,,,,,,15,18,3836,,,,31,16170,,,,5,9244,,,,13,25264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,15-Mar-2015,06:45:57,1,-237.000000,,,0,5,,,,,,,,,,,,,,15,22,28883,,,45,16,18457,,,,18,19006,,,,14,18652,,,,27,29386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,21-Mar-2015,12:21:23,2,-260.000000,,,0,7,,,,,,,,,,,,,,15,16,13620,,,42,4,23314,,,,1,1380,,,,11,24900,,,,22,25178,,,,23,2344,,,,19,13434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,22-Mar-2015,20:13:57,2,-265.000000,,,0,7,,,,,,,,,,,,,,15,6,17143,,,41,7,14247,,,,10,10332,,,,20,14238,,,,1,6336,,,,17,4798,,,,30,10936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,23-Mar-2015,04:07:06,1,-266.000000,,,0,7,,,,,,,,,,,,,,15,13,18986,,,41,18,7116,,,,22,32719,,,,25,663,,,,5,9568,,,,21,29092,,,,29,30162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,25-Mar-2015,04:10:03,2,-273.000000,,,0,5,,,,,,,,,,,,,,15,18,6107,,,43,12,14558,,,,22,11461,,,,25,32004,,,,15,21400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,26-Mar-2015,08:24:49,2,-277.000000,,,0,7,,,,,,,,,,,,,,15,27,19482,,,44,19,4966,,,,31,11765,,,,32,19363,,,,22,12300,,,,4,15860,,,,16,18588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,03-Apr-2015,05:48:07,1,-306.000000,,,0,4,,,,,,,,,,,,,,15,18,6594,,,39,21,11676,,,,27,23858,,,,15,20571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,06-Apr-2015,05:20:49,1,-317.000000,,,0,6,,,,,,,,,,,,,,15,29,6446,,,44,16,15965,,,,27,13002,,,,18,16809,,,,14,4316,,,,15,21214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,11-Apr-2015,08:21:15,1,-336.000000,,,0,6,,,,,,,,,,,,,,15,19,5123,,,39,32,2966,,,,11,2553,,,,4,16070,,,,27,22166,,,,22,10842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
