DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,MinDepth,MinAccuracy,MinSource,MaxDepth,MaxAccuracy,MaxSource
41821,41821,0.500000,UT,00:00:00 08-Jun-2019,,,,0.000000,0.000000,Status,,,
41821,41821,0.500000,UT,00:00:00 16-Jun-2019,,,,0.000000,0.000000,Status,,,
41821,41821,0.500000,UT,00:00:00 05-Jul-2019,,,,0.000000,0.000000,Status,,,
41821,41821,0.500000,UT,00:00:00 12-Jul-2019,,,,0.000000,0.000000,Status,,,
41821,41821,0.500000,UT,00:00:00 03-Sep-2019,,,,0.000000,0.000000,Status,,,
41821,41821,0.500000,UT,00:00:00 28-Sep-2019,,,,0.000000,0.000000,Status,,,
41821,41821,0.500000,UT,00:00:00 06-Oct-2019,,,,0.000000,0.000000,Status,,,
41821,41821,0.500000,UT,00:00:00 18-Nov-2019,,,,0.000000,0.000000,Status,,,
41821,41821,0.500000,UT,00:00:00 19-Nov-2019,,,,0.000000,0.000000,Status,,,
41821,41821,0.500000,UT,00:00:00 25-Nov-2019,,,,0.000000,0.000000,Status,,,
41821,41821,0.500000,UT,00:00:00 18-Jan-2020,,,,0.000000,0.000000,Status,,,
41821,41821,0.500000,UT,00:00:00 06-Feb-2020,,,,0.000000,0.000000,Status,,,
41821,41821,0.500000,UT,00:00:00 31-Mar-2020,,,,0.000000,0.000000,Status,,,
41821,41821,0.500000,UT,00:00:00 06-Apr-2020,,,,0.000000,0.000000,Status,,,
41821,41821,0.500000,UT,00:00:00 31-Aug-2020,,,,0.000000,0.000000,Status,,,
41821,41821,0.500000,UT,00:00:00 10-Oct-2020,,,,0.000000,0.000000,Status,,,
41821,41821,0.500000,UT,00:00:00 03-Nov-2020,,,,0.000000,0.000000,Status,,,
