DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,MinDepth,MinAccuracy,MinSource,MaxDepth,MaxAccuracy,MaxSource
176405,176405,0.500000,UT,00:00:00 18-Oct-2018,,,,0.000000,0.000000,Status,,,
176405,176405,0.500000,UT,00:00:00 25-Oct-2018,,,,0.000000,0.000000,Status,,,
176405,176405,0.500000,UT,00:00:00 19-Nov-2018,,,,0.000000,0.000000,Status,,,
176405,176405,0.500000,UT,00:00:00 25-Nov-2018,,,,0.000000,0.000000,Status,,,
176405,176405,0.500000,UT,00:00:00 01-Jan-2019,,,,0.000000,0.000000,Status,,,
176405,176405,0.500000,UT,00:00:00 28-Jan-2019,,,,0.000000,0.000000,Status,,,
176405,176405,0.500000,UT,00:00:00 10-Feb-2019,,,,0.000000,0.000000,Status,,,
176405,176405,0.500000,UT,00:00:00 20-Feb-2019,,,,0.000000,0.000000,Status,,,
176405,176405,0.500000,UT,00:00:00 26-Mar-2019,,,,0.000000,0.000000,Status,,,
176405,176405,0.500000,UT,00:00:00 29-Mar-2019,,,,0.000000,0.000000,Status,,,
176405,176405,0.500000,UT,00:00:00 02-Apr-2019,,,,0.000000,0.000000,Status,,,
176405,176405,0.500000,UT,00:00:00 06-Jun-2019,,,,0.000000,0.000000,Status,,,
176405,176405,0.500000,UT,00:00:00 11-Jun-2019,,,,0.000000,0.000000,Status,,,
176405,176405,0.500000,UT,00:00:00 12-Jan-2020,,,,0.000000,0.000000,Status,,,
176405,176405,0.500000,UT,00:00:00 17-Jan-2020,,,,0.000000,0.000000,Status,,,
176405,176405,0.500000,UT,00:00:00 22-Jan-2020,,,,0.000000,0.000000,Status,,,
176405,176405,0.500000,UT,00:00:00 25-Jan-2020,,,,0.000000,0.000000,Status,,,
176405,176405,0.500000,UT,00:00:00 26-Jan-2020,,,,0.000000,0.000000,Status,,,
176405,176405,0.500000,UT,00:00:00 27-Jan-2020,,,,0.000000,0.000000,Status,,,
176405,176405,0.500000,UT,00:00:00 04-Feb-2020,,,,0.000000,0.000000,Status,,,
176405,176405,0.500000,UT,00:00:00 10-Feb-2020,,,,0.000000,0.000000,Status,,,
176405,176405,0.500000,UT,00:00:00 11-Feb-2020,,,,0.000000,0.000000,Status,,,
