DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,Depth,Temperature,Source
222235,222235,0.500000,UT,21:00:00 08-Oct-2022,,,,0.0,28.6,Status
222235,222235,0.500000,UT,22:00:00 08-Oct-2022,,,,0.0,25.5,Status
222235,222235,0.500000,UT,00:00:00 09-Oct-2022,,,,0.0,26.4,Status
222235,222235,0.500000,UT,22:00:00 09-Oct-2022,,,,0.0,24.7,Status
222235,222235,0.500000,UT,00:00:00 10-Oct-2022,,,,0.0,24.3,Status
222235,222235,0.500000,UT,08:00:00 14-Feb-2023,,,,0.0,29.9,Status
222235,222235,0.500000,UT,09:00:00 14-Feb-2023,,,,0.0,28.6,Status
222235,222235,0.500000,UT,07:00:00 15-Feb-2023,,,,0.0,29.0,Status
222235,222235,0.500000,UT,10:00:00 15-Feb-2023,,,,0.0,28.4,Status
222235,222235,0.500000,UT,12:00:00 15-Feb-2023,,,,0.0,27.8,Status
222235,222235,0.500000,UT,08:00:00 19-Feb-2023,,,,0.0,27.9,Status
222235,222235,0.500000,UT,10:00:00 23-Feb-2023,,,,0.0,26.8,Status
222235,222235,0.500000,UT,00:00:00 26-Feb-2023,,,,0.0,26.5,Status
222235,222235,0.500000,UT,13:00:00 26-Feb-2023,,,,0.0,27.3,Status
222235,222235,0.500000,UT,22:00:00 26-Feb-2023,,,,0.0,27.0,Status
222235,222235,0.500000,UT,23:00:00 26-Feb-2023,,,,0.0,27.0,Status
222235,222235,0.500000,UT,07:00:00 03-Mar-2023,,,,0.0,27.9,Status
222235,222235,0.500000,UT,07:00:00 04-Mar-2023,,,,0.0,28.9,Status
222235,222235,0.500000,UT,08:00:00 05-Mar-2023,,,,0.0,29.0,Status
222235,222235,0.500000,UT,20:00:00 05-Mar-2023,,,,0.0,24.7,Status
222235,222235,0.500000,UT,20:00:00 06-Mar-2023,,,,0.0,26.5,Status
222235,222235,0.500000,UT,08:00:00 07-Mar-2023,,,,0.0,30.4,Status
222235,222235,0.500000,UT,20:00:00 07-Mar-2023,,,,0.0,26.9,Status
222235,222235,0.500000,UT,08:00:00 08-Mar-2023,,,,0.0,28.8,Status
222235,222235,0.500000,UT,21:00:00 09-Mar-2023,,,,0.0,27.2,Status
222235,222235,0.500000,UT,09:00:00 10-Mar-2023,,,,0.0,27.9,Status
222235,222235,0.500000,UT,10:00:00 11-Mar-2023,,,,0.0,28.0,Status
222235,222235,0.500000,UT,21:00:00 11-Mar-2023,,,,0.0,27.6,Status
222235,222235,0.500000,UT,22:00:00 11-Mar-2023,,,,0.0,28.0,Status
222235,222235,0.500000,UT,07:00:00 13-Mar-2023,,,,0.0,30.4,Status
222235,222235,0.500000,UT,13:00:00 14-Mar-2023,,,,0.0,28.0,Status
222235,222235,0.500000,UT,02:00:00 15-Mar-2023,,,,0.0,28.9,Status
222235,222235,0.500000,UT,06:00:00 18-Mar-2023,,,,0.0,29.5,Status
222235,222235,0.500000,UT,21:00:00 19-Mar-2023,,,,0.0,27.8,Status
222235,222235,0.500000,UT,21:00:00 20-Mar-2023,,,,0.0,26.5,Status
222235,222235,0.500000,UT,20:00:00 21-Mar-2023,,,,0.0,26.8,Status
222235,222235,0.500000,UT,09:00:00 22-Mar-2023,,,,0.0,27.9,Status
222235,222235,0.500000,UT,10:00:00 24-Mar-2023,,,,0.0,27.9,Status
222235,222235,0.500000,UT,22:00:00 24-Mar-2023,,,,0.0,27.6,Status
222235,222235,0.500000,UT,20:00:00 25-Mar-2023,,,,0.0,26.5,Status
222235,222235,0.500000,UT,22:00:00 25-Mar-2023,,,,0.0,28.0,Status
222235,222235,0.500000,UT,23:00:00 25-Mar-2023,,,,0.0,28.0,Status
222235,222235,0.500000,UT,07:00:00 26-Mar-2023,,,,0.0,29.8,Status
222235,222235,0.500000,UT,13:00:00 28-Mar-2023,,,,0.0,28.5,Status
222235,222235,0.500000,UT,21:00:00 05-Apr-2023,,,,0.0,26.3,Status
222235,222235,0.500000,UT,21:00:00 08-Apr-2023,,,,0.0,27.3,Status
222235,222235,0.500000,UT,23:00:00 09-Apr-2023,,,,0.0,26.9,Status
222235,222235,0.500000,UT,00:00:00 12-Apr-2023,,,,0.0,28.0,Status
222235,222235,0.500000,UT,01:00:00 12-Apr-2023,,,,0.0,29.9,Status
222235,222235,0.500000,UT,06:00:00 16-Apr-2023,,,,0.0,32.3,Status
222235,222235,0.500000,UT,08:00:00 16-Apr-2023,,,,0.0,28.7,Status
222235,222235,0.500000,UT,21:00:00 21-Apr-2023,,,,0.0,25.4,Status
222235,222235,0.500000,UT,23:00:00 26-Apr-2023,,,,0.0,26.0,Status
222235,222235,0.500000,UT,00:00:00 27-Apr-2023,,,,0.0,26.0,Status
222235,222235,0.500000,UT,06:00:00 02-May-2023,,,,0.0,27.3,Status
222235,222235,0.500000,UT,19:00:00 04-May-2023,,,,0.0,26.0,Status
222235,222235,0.500000,UT,20:00:00 05-May-2023,,,,0.0,25.9,Status
222235,222235,0.500000,UT,21:00:00 06-May-2023,,,,0.0,25.6,Status
222235,222235,0.500000,UT,23:00:00 11-May-2023,,,,0.0,25.0,Status
222235,222235,0.500000,UT,19:00:00 17-May-2023,,,,0.0,24.3,Status
222235,222235,0.500000,UT,21:00:00 19-May-2023,,,,0.0,24.0,Status
222235,222235,0.500000,UT,20:00:00 05-Jun-2023,,,,0.0,24.5,Status
222235,222235,0.500000,UT,02:00:00 13-Jun-2023,,,,0.0,26.0,Status
222235,222235,0.500000,UT,01:00:00 11-Jul-2023,,,,0.0,25.5,Status
222235,222235,0.500000,UT,01:00:00 12-Jul-2023,,,,0.0,25.5,Status
222235,222235,0.500000,UT,02:00:00 13-Aug-2023,,,,0.0,25.3,Status
222235,222235,0.500000,UT,03:00:00 14-Aug-2023,,,,0.0,25.9,Status
222235,222235,0.500000,UT,03:00:00 16-Aug-2023,,,,0.0,25.5,Status
222235,222235,0.500000,UT,12:00:00 04-Sep-2023,,,,0.0,25.1,Status
222235,222235,0.500000,UT,07:00:00 19-Sep-2023,,,,0.0,24.0,Status
222235,222235,0.500000,UT,20:00:00 19-Sep-2023,,,,0.0,23.8,Status
222235,222235,0.500000,UT,11:00:00 03-Oct-2023,,,,0.0,23.8,Status
222235,222235,0.500000,UT,19:00:00 06-Oct-2023,,,,0.0,23.3,Status
222235,222235,0.500000,UT,02:00:00 09-Oct-2023,,,,0.0,23.5,Status
222235,222235,0.500000,UT,13:00:00 10-Oct-2023,,,,0.0,23.8,Status
222235,222235,0.500000,UT,19:00:00 11-Oct-2023,,,,0.0,23.0,Status
222235,222235,0.500000,UT,20:00:00 15-Oct-2023,,,,0.0,23.3,Status
222235,222235,0.500000,UT,21:00:00 16-Oct-2023,,,,0.0,23.6,Status
222235,222235,0.500000,UT,03:00:00 23-Oct-2023,,,,0.0,26.0,Status
222235,222235,0.500000,UT,02:00:00 24-Oct-2023,,,,0.0,26.1,Status
222235,222235,0.500000,UT,07:00:00 27-Oct-2023,,,,0.0,24.5,Status
222235,222235,0.500000,UT,20:00:00 29-Oct-2023,,,,0.0,23.8,Status
222235,222235,0.500000,UT,21:00:00 30-Oct-2023,,,,0.0,23.9,Status
222235,222235,0.500000,UT,06:00:00 11-Nov-2023,,,,0.0,25.2,Status
222235,222235,0.500000,UT,19:00:00 11-Nov-2023,,,,0.0,23.9,Status
222235,222235,0.500000,UT,07:00:00 12-Nov-2023,,,,0.0,27.4,Status
222235,222235,0.500000,UT,20:00:00 14-Nov-2023,,,,0.0,23.7,Status
222235,222235,0.500000,UT,03:00:00 22-Nov-2023,,,,0.0,31.5,Status
222235,222235,0.500000,UT,19:00:00 26-Nov-2023,,,,0.0,24.5,Status
222235,222235,0.500000,UT,20:00:00 27-Nov-2023,,,,0.0,25.1,Status
222235,222235,0.500000,UT,21:00:00 28-Nov-2023,,,,0.0,24.5,Status
222235,222235,0.500000,UT,21:00:00 29-Nov-2023,,,,0.0,25.5,Status
222235,222235,0.500000,UT,23:00:00 02-Dec-2023,,,,0.0,26.5,Status
222235,222235,0.500000,UT,02:00:00 06-Dec-2023,,,,0.0,26.8,Status
222235,222235,0.500000,UT,19:00:00 11-Dec-2023,,,,0.0,25.4,Status
222235,222235,0.500000,UT,20:00:00 13-Dec-2023,,,,0.0,25.9,Status
222235,222235,0.500000,UT,09:00:00 27-Dec-2023,,,,0.0,28.1,Status
222235,222235,0.500000,UT,22:00:00 29-Dec-2023,,,,0.0,28.3,Status
222235,222235,0.500000,UT,18:00:00 08-Jan-2024,,,,0.0,28.0,Status
222235,222235,0.500000,UT,08:00:00 11-Jan-2024,,,,0.0,29.2,Status
222235,222235,0.500000,UT,20:00:00 12-Jan-2024,,,,0.0,27.2,Status
222235,222235,0.500000,UT,15:00:00 13-Jan-2024,,,,0.0,28.0,Status
222235,222235,0.500000,UT,12:00:00 15-Jan-2024,,,,0.0,28.0,Status
222235,222235,0.500000,UT,23:00:00 15-Jan-2024,,,,0.0,28.4,Status
222235,222235,0.500000,UT,12:00:00 16-Jan-2024,,,,0.0,28.3,Status
