DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
228002,228002,UT,Strong,15-Feb-2022,08:01:20,15-Feb-2022,08:00:33
228002,228002,UT,Strong,23-Mar-2022,08:21:01,23-Mar-2022,08:19:12
