DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,Depth,Temperature,Source
209946,209946,0.500000,UT,22:00:00 24-Sep-2021,,,,0.0,25.9,Status
209946,209946,0.500000,UT,23:00:00 24-Sep-2021,,,,0.0,29.5,Status
209946,209946,0.500000,UT,00:00:00 25-Sep-2021,,,,0.0,42.1,Status
209946,209946,0.500000,UT,06:00:00 25-Oct-2021,,,,0.0,27.5,Status
209946,209946,0.500000,UT,08:00:00 06-Nov-2021,,,,0.0,27.6,Status
209946,209946,0.500000,UT,08:00:00 16-Nov-2021,,,,0.0,27.8,Status
209946,209946,0.500000,UT,20:00:00 09-Dec-2021,,,,0.0,29.2,Status
209946,209946,0.500000,UT,09:00:00 01-Jan-2022,,,,0.0,29.5,Status
209946,209946,0.500000,UT,00:00:00 04-Jan-2022,,,,0.0,30.2,Status
209946,209946,0.500000,UT,12:00:00 14-Jan-2022,,,,0.0,29.6,Status
209946,209946,0.500000,UT,20:00:00 04-Mar-2022,,,,0.0,29.6,Status
