DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
184222,184222,UT,Strong,14-Mar-2021,21:12:47,14-Mar-2021,21:12:48
184222,184222,UT,Strong,25-Dec-2021,23:18:29,25-Dec-2021,23:18:54
