DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,Depth,Temperature,Source
184222,184222,0.500000,UT,21:00:00 14-Mar-2021,,,,0.0,29.4,Status
184222,184222,0.500000,UT,21:00:00 15-Mar-2021,,,,0.0,26.0,Status
184222,184222,0.500000,UT,22:00:00 15-Mar-2021,,,,0.0,29.9,Status
184222,184222,0.500000,UT,20:00:00 29-Mar-2021,,,,0.0,26.7,Status
184222,184222,0.500000,UT,19:00:00 02-Apr-2021,,,,0.0,26.1,Status
184222,184222,0.500000,UT,00:00:00 03-Apr-2021,,,,0.0,25.5,Status
184222,184222,0.500000,UT,00:00:00 09-Apr-2021,,,,0.0,26.0,Status
184222,184222,0.500000,UT,07:00:00 10-Apr-2021,,,,0.0,26.8,Status
184222,184222,0.500000,UT,08:00:00 11-Apr-2021,,,,0.0,26.5,Status
184222,184222,0.500000,UT,08:00:00 12-Apr-2021,,,,0.0,26.0,Status
184222,184222,0.500000,UT,10:00:00 18-Apr-2021,,,,0.0,25.9,Status
184222,184222,0.500000,UT,07:00:00 22-Apr-2021,,,,0.0,25.6,Status
184222,184222,0.500000,UT,07:00:00 24-Apr-2021,,,,0.0,24.9,Status
184222,184222,0.500000,UT,07:00:00 26-Apr-2021,,,,0.0,24.6,Status
184222,184222,0.500000,UT,08:00:00 26-Apr-2021,,,,0.0,24.8,Status
184222,184222,0.500000,UT,08:00:00 28-Apr-2021,,,,0.0,24.3,Status
184222,184222,0.500000,UT,08:00:00 05-May-2021,,,,0.0,24.8,Status
184222,184222,0.500000,UT,06:00:00 07-May-2021,,,,0.0,24.8,Status
184222,184222,0.500000,UT,23:00:00 07-May-2021,,,,0.0,24.5,Status
184222,184222,0.500000,UT,20:00:00 10-May-2021,,,,0.0,24.4,Status
184222,184222,0.500000,UT,08:00:00 11-May-2021,,,,0.0,24.7,Status
184222,184222,0.500000,UT,07:00:00 12-May-2021,,,,0.0,25.0,Status
184222,184222,0.500000,UT,08:00:00 12-May-2021,,,,0.0,24.9,Status
184222,184222,0.500000,UT,21:00:00 13-May-2021,,,,0.0,21.0,Status
184222,184222,0.500000,UT,08:00:00 14-May-2021,,,,0.0,23.8,Status
184222,184222,0.500000,UT,09:00:00 15-May-2021,,,,0.0,20.8,Status
184222,184222,0.500000,UT,22:00:00 15-May-2021,,,,0.0,24.3,Status
184222,184222,0.500000,UT,21:00:00 16-May-2021,,,,0.0,23.8,Status
184222,184222,0.500000,UT,10:00:00 17-May-2021,,,,0.0,23.2,Status
184222,184222,0.500000,UT,11:00:00 18-May-2021,,,,0.0,23.2,Status
184222,184222,0.500000,UT,12:00:00 18-May-2021,,,,0.0,22.9,Status
184222,184222,0.500000,UT,11:00:00 20-May-2021,,,,0.0,22.3,Status
184222,184222,0.500000,UT,22:00:00 20-May-2021,,,,0.0,22.9,Status
184222,184222,0.500000,UT,09:00:00 24-May-2021,,,,0.0,23.5,Status
184222,184222,0.500000,UT,08:00:00 26-May-2021,,,,0.0,23.7,Status
184222,184222,0.500000,UT,08:00:00 27-May-2021,,,,0.0,24.5,Status
184222,184222,0.500000,UT,09:00:00 27-May-2021,,,,0.0,23.9,Status
184222,184222,0.500000,UT,09:00:00 28-May-2021,,,,0.0,23.8,Status
184222,184222,0.500000,UT,10:00:00 28-May-2021,,,,0.0,22.4,Status
184222,184222,0.500000,UT,08:00:00 01-Jun-2021,,,,0.0,22.5,Status
184222,184222,0.500000,UT,22:00:00 07-Jun-2021,,,,0.0,23.1,Status
184222,184222,0.500000,UT,00:00:00 09-Jun-2021,,,,0.0,22.1,Status
184222,184222,0.500000,UT,21:00:00 10-Jun-2021,,,,0.0,20.4,Status
184222,184222,0.500000,UT,08:00:00 14-Jun-2021,,,,0.0,21.6,Status
184222,184222,0.500000,UT,10:00:00 14-Jun-2021,,,,0.0,20.9,Status
184222,184222,0.500000,UT,11:00:00 15-Jun-2021,,,,0.0,22.9,Status
