DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,MinDepth,MinAccuracy,MinSource,MaxDepth,MaxAccuracy,MaxSource
253100,253100,0.500000,UT,00:00:00 17-Sep-2023,,,,0.000000,0.000000,Status,,,
253100,253100,0.500000,UT,00:00:00 28-Sep-2023,,,,0.000000,0.000000,Status,,,
253100,253100,0.500000,UT,00:00:00 03-Oct-2023,,,,0.000000,0.000000,Status,,,
253100,253100,0.500000,UT,00:00:00 11-Oct-2023,,,,0.000000,0.000000,Status,,,
253100,253100,0.500000,UT,00:00:00 18-Oct-2023,,,,0.000000,0.000000,Status,,,
253100,253100,0.500000,UT,00:00:00 20-Oct-2023,,,,0.000000,0.000000,Status,,,
253100,253100,0.500000,UT,00:00:00 24-Oct-2023,,,,0.000000,0.000000,Status,,,
253100,253100,0.500000,UT,00:00:00 28-Oct-2023,,,,0.000000,0.000000,Status,,,
253100,253100,0.500000,UT,00:00:00 29-Oct-2023,,,,0.000000,0.000000,Status,,,
253100,253100,0.500000,UT,00:00:00 31-Oct-2023,,,,0.000000,0.000000,Status,,,
253100,253100,0.500000,UT,00:00:00 05-Nov-2023,,,,0.000000,0.000000,Status,,,
253100,253100,0.500000,UT,00:00:00 06-Nov-2023,,,,0.000000,0.000000,Status,,,
253100,253100,0.500000,UT,00:00:00 07-Nov-2023,,,,0.000000,0.000000,Status,,,
253100,253100,0.500000,UT,00:00:00 09-Nov-2023,,,,0.000000,0.000000,Status,,,
253100,253100,0.500000,UT,00:00:00 10-Nov-2023,,,,0.000000,0.000000,Status,,,
253100,253100,0.500000,UT,00:00:00 12-Nov-2023,,,,0.000000,0.000000,Status,,,
253100,253100,0.500000,UT,00:00:00 14-Nov-2023,,,,0.000000,0.000000,Status,,,
253100,253100,0.500000,UT,00:00:00 15-Nov-2023,,,,0.000000,0.000000,Status,,,
253100,253100,0.500000,UT,00:00:00 16-Nov-2023,,,,0.000000,0.000000,Status,,,
253100,253100,0.500000,UT,00:00:00 17-Nov-2023,,,,0.000000,0.000000,Status,,,
253100,253100,0.500000,UT,00:00:00 18-Nov-2023,,,,0.000000,0.000000,Status,,,
253100,253100,0.500000,UT,00:00:00 19-Nov-2023,,,,0.000000,0.000000,Status,,,
253100,253100,0.500000,UT,00:00:00 20-Nov-2023,,,,0.000000,0.000000,Status,,,
253100,253100,0.500000,UT,00:00:00 27-Nov-2023,,,,0.000000,0.000000,Status,,,
253100,253100,0.500000,UT,00:00:00 29-Nov-2023,,,,0.000000,0.000000,Status,,,
253100,253100,0.500000,UT,00:00:00 05-Dec-2023,,,,0.000000,0.000000,Status,,,
253100,253100,0.500000,UT,00:00:00 06-Dec-2023,,,,0.000000,0.000000,Status,,,
253100,253100,0.500000,UT,00:00:00 07-Dec-2023,,,,0.000000,0.000000,Status,,,
253100,253100,0.500000,UT,00:00:00 10-Dec-2023,,,,0.000000,0.000000,Status,,,
253100,253100,0.500000,UT,00:00:00 12-Dec-2023,,,,0.000000,0.000000,Status,,,
253100,253100,0.500000,UT,00:00:00 14-Dec-2023,,,,0.000000,0.000000,Status,,,
253100,253100,0.500000,UT,00:00:00 19-Dec-2023,,,,0.000000,0.000000,Status,,,
253100,253100,0.500000,UT,00:00:00 20-Dec-2023,,,,0.000000,0.000000,Status,,,
253100,253100,0.500000,UT,00:00:00 21-Dec-2023,,,,0.000000,0.000000,Status,,,
253100,253100,0.500000,UT,00:00:00 23-Dec-2023,,,,0.000000,0.000000,Status,,,
253100,253100,0.500000,UT,00:00:00 24-Dec-2023,,,,0.000000,0.000000,Status,,,
253100,253100,0.500000,UT,00:00:00 25-Dec-2023,,,,0.000000,0.000000,Status,,,
253100,253100,0.500000,UT,00:00:00 30-Dec-2023,,,,0.000000,0.000000,Status,,,
253100,253100,0.500000,UT,00:00:00 31-Dec-2023,,,,0.000000,0.000000,Status,,,
253100,253100,0.500000,UT,00:00:00 02-Jan-2024,,,,0.000000,0.000000,Status,,,
