DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
Barnacle Betty,222233,UT,07:10:28 29-Oct-2022,,,3,-23.3530,151.7135,CRC 152.216,07:12:25 29-Oct-2022,Status,83,16,165,253,104,32,234,146,62,156,198,82,6,50,41,129,99,159,96,115,94,200,202,,,,,,,,,
Barnacle Betty,222233,UT,07:11:04 29-Oct-2022,,,3,-23.3530,151.7135,CRC (both failed),,,32,171,128,2,94,198,26,251,130,237,230,182,15,240,253,102,4,190,156,44,238,29,10,64,43,15,9,228,47,53,154,
Barnacle Betty,222233,UT,07:10:28 29-Oct-2022,,,2,-23.3529,151.7139,CRC 152.41,07:12:25 29-Oct-2022,Status,83,16,165,253,104,32,234,146,62,156,198,90,84,17,17,174,12,237,255,216,11,242,47,,,,,,,,,
Barnacle Betty,222233,UT,07:11:04 29-Oct-2022,,,2,-23.3529,151.7139,CRC (both failed),,,32,171,128,32,128,66,158,3,254,220,249,185,87,106,163,64,118,217,135,18,97,163,217,229,72,230,229,165,15,239,226,
Barnacle Betty,222233,UT,21:54:36 31-Oct-2022,,,2,-23.2311,151.7941,CRC 14.3,,,110,140,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnacle Betty,222233,UT,21:55:27 31-Oct-2022,,,2,-23.2311,151.7941,CRC 11.7,21:55:27 31-Oct-2022,Status,75,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnacle Betty,222233,UT,22:11:45 31-Oct-2022,,,B,-23.2497,151.7958,CRC 28.109,22:11:45 31-Oct-2022,Status,67,144,165,253,104,32,234,146,139,247,229,57,99,250,177,13,40,99,115,195,67,180,118,,,,,,,,,
Barnacle Betty,222233,UT,09:00:56 01-Nov-2022,,,2,-23.3171,151.7256,CRC,04:11:58 02-Dec-2020,Fast-GPS,102,8,133,245,104,32,234,146,48,164,49,21,22,17,173,12,1,160,32,209,1,127,192,,,,,,,,,
Barnacle Betty,222233,UT,09:31:51 01-Nov-2022,,,3,-23.2929,151.7202,CRC 1.2,,,97,135,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnacle Betty,222233,UT,09:45:27 01-Nov-2022,,,3,-23.2929,151.7202,CRC 4.12,09:45:27 01-Nov-2022,Status,100,142,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnacle Betty,222233,UT,09:51:40 01-Nov-2022,,,2,-23.2922,151.7265,CRC 0.8,09:51:40 01-Nov-2022,Status,64,16,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnacle Betty,222233,UT,09:55:58 01-Nov-2022,,,2,-23.2922,151.7265,CRC 2.1,09:55:58 01-Nov-2022,Status,82,128,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnacle Betty,222233,UT,11:31:24 01-Nov-2022,,,0,-23.3057,151.6947,CRC 0.6,11:31:24 01-Nov-2022,Status,64,58,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnacle Betty,222233,UT,08:20:09 02-Nov-2022,,,B,-23.2691,151.8739,CRC 4.1,,,100,134,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnacle Betty,222233,UT,18:37:21 03-Nov-2022,,,1,-23.3136,151.7535,CRC 15.7,18:37:21 03-Nov-2022,Status,79,7,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnacle Betty,222233,UT,07:00:18 04-Nov-2022,,,B,-23.3027,151.7168,CRC (both failed),,,32,32,101,32,38,233,57,222,11,157,176,113,232,97,158,15,203,12,58,31,64,91,46,252,128,255,255,255,255,255,118,
Barnacle Betty,222233,UT,09:03:44 04-Nov-2022,,,B,-23.3057,151.7011,CRC (both failed),,,32,172,96,0,0,0,0,0,0,255,0,240,162,171,226,135,210,189,43,230,125,60,1,239,218,195,138,27,139,216,247,
Barnacle Betty,222233,UT,09:03:44 04-Nov-2022,,,B,-23.3135,151.7133,CRC (both failed),,,32,172,96,0,0,2,129,24,4,223,152,248,151,207,182,4,234,208,147,200,60,217,173,216,205,106,8,38,110,226,195,
Barnacle Betty,222233,UT,09:03:44 04-Nov-2022,,,B,-23.3156,151.6999,CRC (both failed),,,32,172,96,0,0,0,0,0,0,223,4,44,28,17,5,59,195,37,47,104,13,29,7,139,50,242,219,244,24,236,121,
Barnacle Betty,222233,UT,12:54:13 04-Nov-2022,,,B,-23.3171,151.6064,CRC 4.7,,,100,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnacle Betty,222233,UT,08:46:49 05-Nov-2022,,,0,-23.4414,151.5608,CRC 206.48,18:58:00 22-Nov-2022,Status,89,208,165,253,104,32,234,148,123,75,160,9,185,77,38,174,190,22,127,35,4,68,119,,,,,,,,,
Barnacle Betty,222233,UT,08:52:38 05-Nov-2022,,,0,-23.4414,151.5608,CRC 11.0,08:52:38 05-Nov-2022,Status,75,62,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnacle Betty,222233,UT,08:54:18 05-Nov-2022,,,0,-23.4414,151.5608,CRC 11.10,08:54:18 05-Nov-2022,Status,27,140,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnacle Betty,222233,UT,10:13:34 05-Nov-2022,,,A,-23.3909,151.5353,CRC 11.1,10:13:34 05-Nov-2022,Status,27,143,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnacle Betty,222233,UT,10:21:48 05-Nov-2022,,,3,-23.3813,151.5442,CRC 5.11,10:21:48 05-Nov-2022,Status,69,42,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnacle Betty,222233,UT,10:28:43 05-Nov-2022,,,2,-23.3784,151.5480,,,,1,129,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnacle Betty,222233,UT,07:36:45 07-Nov-2022,,,0,-23.3601,151.8670,CRC 15.14,07:36:45 07-Nov-2022,Status,95,129,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
