DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt
141148,141148,,SPOT,,,09:07:28 01-Jul-2015,,B,-16.5508,146.0249,,,,,6528,3.216,,0.176,24.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,19:39:20 03-Jul-2015,,,,,,,,,6784,3.200,,0.176,22.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,19:25:07 04-Jul-2015,,,,,,,,,6784,3.216,,0.180,23.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,22:25:55 04-Jul-2015,,,,,,,,,6784,3.216,,0.176,24.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,06:22:11 05-Jul-2015,,B,-16.1937,146.3129,,,,,6784,3.216,,0.184,24.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,06:24:48 05-Jul-2015,,B,-16.1937,146.3129,,,,,6784,3.216,,0.916,20.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,07:58:16 05-Jul-2015,,A,-16.3927,145.8034,,,,,6784,3.216,,0.168,22.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,08:00:21 05-Jul-2015,,A,-16.3927,145.8034,,,,,6784,3.184,,0.188,22.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,08:01:05 05-Jul-2015,,A,-16.3302,145.8550,,,,,6784,3.200,,0.180,22.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,08:02:09 05-Jul-2015,,A,-16.3302,145.8550,,,,,6784,3.200,,0.172,22.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,08:44:37 05-Jul-2015,,B,-16.3130,146.0752,,,,,6784,3.232,,0.168,22.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,07:54:59 06-Jul-2015,,B,-16.6489,145.1055,,,,,6784,3.248,,0.164,23.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,20:18:27 06-Jul-2015,,B,-16.3757,145.5171,,,,,6784,3.200,,0.180,24.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,20:36:39 06-Jul-2015,,B,-16.4201,145.5908,,,,,6784,3.216,,0.172,24.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,21:17:04 08-Jul-2015,,,,,,,,,7040,3.232,,0.164,24.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,08:41:17 11-Jul-2015,,,,,,,,,7040,3.200,,0.200,24.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,21:22:02 11-Jul-2015,,,,,,,,,7040,3.184,,0.204,24.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,04:18:39 12-Jul-2015,,A,-16.3234,145.6882,,,,,7040,3.248,,0.160,24.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,04:19:31 12-Jul-2015,,A,-16.3234,145.6882,,,,,7040,3.200,,0.188,24.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,04:20:15 12-Jul-2015,,A,-16.3234,145.6882,,,,,7040,3.200,,0.180,24.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,20:42:49 17-Jul-2015,,,,,,,,,7296,3.200,,0.164,23.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,08:20:38 21-Jul-2015,,,,,,,,,7296,3.232,,0.160,24.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,20:43:42 21-Jul-2015,,,,,,,,,7296,3.232,,0.152,24.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,07:36:20 22-Jul-2015,,,,,,,,,7296,3.248,,0.212,17.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,08:08:57 22-Jul-2015,,B,-16.2553,145.9880,,,,,7296,3.216,,0.164,24.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,08:11:25 22-Jul-2015,,B,-16.2553,145.9880,,,,,7296,3.232,,0.152,25.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,08:14:54 22-Jul-2015,,A,-16.2573,145.9876,,,,,7296,3.504,,0.080,18.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,20:36:39 22-Jul-2015,,B,-16.0281,145.9429,,,,,7552,3.216,,0.160,24.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,20:37:24 22-Jul-2015,,B,-16.0281,145.9429,,,,,7552,3.216,,0.160,21.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,07:08:34 23-Jul-2015,,B,-16.0032,145.7754,,,,,7552,3.200,,0.164,24.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,20:19:39 29-Jul-2015,,,,,,,,,7552,3.200,,0.168,24.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,08:28:16 31-Jul-2015,,,,,,,,,7552,3.152,,0.204,21.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,08:06:31 06-Aug-2015,,B,-16.3320,145.8905,,,,,7808,3.184,,0.156,24.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,08:08:18 06-Aug-2015,,B,-16.3320,145.8905,,,,,7808,3.152,,0.180,24.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,07:03:52 09-Aug-2015,,,,,,,,,7808,3.216,,0.156,24.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,05:51:35 12-Aug-2015,,,,,,,,,7808,3.152,,0.188,25.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,21:39:39 27-Aug-2015,,,,,,,,,8064,3.088,,0.196,24.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,18:34:51 30-Aug-2015,,,,,,,,,8064,3.120,,0.176,25.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,19:26:52 04-Sep-2015,,,,,,,,,8064,3.104,,0.180,25.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,08:53:55 09-Sep-2015,,,,,,,,,7552,3.120,,0.248,-12.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,08:57:29 09-Sep-2015,,,,,,,,,8064,3.120,,0.164,25.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,08:33:32 10-Sep-2015,,,,,,,,,8064,3.120,,0.164,25.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,21:06:57 10-Sep-2015,,,,,,,,,8064,3.232,,0.172,34.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,08:03:10 22-Sep-2015,,,,,,,,,8320,3.136,,0.156,-14.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,08:27:26 23-Sep-2015,,,,,,,,,8320,3.120,,0.156,25.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,20:59:51 23-Sep-2015,,,,,,,,,8576,3.360,,0.156,11.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,19:45:04 26-Sep-2015,,,,,,,,,8576,3.120,,0.156,24.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,20:09:22 26-Sep-2015,,,,,,,,,8576,3.104,,0.164,25.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,09:02:45 29-Sep-2015,,,,,,,,,8576,3.056,,0.192,25.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,04:53:28 06-Oct-2015,,,,,,,,,8576,3.104,,0.148,25.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,20:40:30 06-Oct-2015,,,,,,,,,8576,3.088,,0.156,27.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,07:55:05 07-Oct-2015,,,,,,,,,384,3.584,,0.436,-12.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,07:53:49 30-Oct-2015,,,,,,,,,8832,3.088,,0.144,26.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,20:09:07 31-Oct-2015,,,,,,,,,9088,3.088,,0.144,25.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,20:58:26 31-Oct-2015,,,,,,,,,9088,3.056,,0.156,25.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,07:43:15 06-Nov-2015,,,,,,,,,9088,3.024,,0.172,26.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,00:18:32 07-Nov-2015,,,,,,,,,9088,3.072,,0.152,27.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,05:40:40 16-Nov-2015,,,,,,,,,9088,3.040,,0.160,26.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,07:53:25 17-Nov-2015,,,,,,,,,9088,3.024,,0.164,26.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,19:49:54 17-Nov-2015,,,,,,,,,9088,3.024,,0.168,26.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,05:13:16 18-Nov-2015,,,,,,,,,9088,3.024,,0.172,28.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,19:24:59 19-Nov-2015,,,,,,,,,9344,3.056,,0.152,27.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,08:06:36 23-Nov-2015,,,,,,,,,9344,2.992,,0.168,26.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,11:54:09 24-Nov-2015,,,,,,,,,9344,3.024,,0.168,27.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,20:06:08 26-Nov-2015,,,,,,,,,9344,3.024,,0.160,26.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
